Study.Area,Region.Label,Area,Sample.Label,grouping,Effort,object,distance
Systematic_variance_2,Default,0.5,5,3,0.211,80,1
Systematic_variance_2,Default,0.5,5,3,0.211,81,3
Systematic_variance_2,Default,0.5,5,3,0.211,82,5
Systematic_variance_2,Default,0.5,5,3,0.211,83,10
Systematic_variance_2,Default,0.5,5,3,0.211,84,4
Systematic_variance_2,Default,0.5,5,3,0.211,85,1
Systematic_variance_2,Default,0.5,6,3,0.26,86,1
Systematic_variance_2,Default,0.5,6,3,0.26,87,4
Systematic_variance_2,Default,0.5,6,3,0.26,88,4
Systematic_variance_2,Default,0.5,6,3,0.26,89,0
Systematic_variance_2,Default,0.5,6,3,0.26,90,5
Systematic_variance_2,Default,0.5,6,3,0.26,91,1
Systematic_variance_2,Default,0.5,6,3,0.26,92,5
Systematic_variance_2,Default,0.5,6,3,0.26,93,2
Systematic_variance_2,Default,0.5,6,3,0.26,94,4
Systematic_variance_2,Default,0.5,6,3,0.26,95,8
Systematic_variance_2,Default,0.5,6,3,0.26,96,8
Systematic_variance_2,Default,0.5,6,3,0.26,97,7
Systematic_variance_2,Default,0.5,6,3,0.26,98,1
Systematic_variance_2,Default,0.5,6,3,0.26,99,7
Systematic_variance_2,Default,0.5,6,3,0.26,100,2
Systematic_variance_2,Default,0.5,6,3,0.26,101,4
Systematic_variance_2,Default,0.5,6,3,0.26,102,3
Systematic_variance_2,Default,0.5,6,3,0.26,103,7
Systematic_variance_2,Default,0.5,6,3,0.26,104,7
Systematic_variance_2,Default,0.5,6,3,0.26,105,9
Systematic_variance_2,Default,0.5,6,3,0.26,106,9
Systematic_variance_2,Default,0.5,6,3,0.26,107,8
Systematic_variance_2,Default,0.5,7,4,0.309,108,8
Systematic_variance_2,Default,0.5,7,4,0.309,109,5
Systematic_variance_2,Default,0.5,7,4,0.309,110,4
Systematic_variance_2,Default,0.5,7,4,0.309,111,6
Systematic_variance_2,Default,0.5,7,4,0.309,112,0
Systematic_variance_2,Default,0.5,7,4,0.309,113,1
Systematic_variance_2,Default,0.5,7,4,0.309,114,6
Systematic_variance_2,Default,0.5,7,4,0.309,115,5
Systematic_variance_2,Default,0.5,7,4,0.309,116,3
Systematic_variance_2,Default,0.5,7,4,0.309,117,6
Systematic_variance_2,Default,0.5,7,4,0.309,118,2
Systematic_variance_2,Default,0.5,7,4,0.309,119,4
Systematic_variance_2,Default,0.5,7,4,0.309,120,4
Systematic_variance_2,Default,0.5,7,4,0.309,121,5
Systematic_variance_2,Default,0.5,7,4,0.309,122,3
Systematic_variance_2,Default,0.5,7,4,0.309,123,6
Systematic_variance_2,Default,0.5,7,4,0.309,124,2
Systematic_variance_2,Default,0.5,7,4,0.309,125,6
Systematic_variance_2,Default,0.5,7,4,0.309,126,6
Systematic_variance_2,Default,0.5,7,4,0.309,127,3
Systematic_variance_2,Default,0.5,8,4,0.358,128,2
Systematic_variance_2,Default,0.5,8,4,0.358,129,3
Systematic_variance_2,Default,0.5,8,4,0.358,130,9
Systematic_variance_2,Default,0.5,8,4,0.358,131,8
Systematic_variance_2,Default,0.5,8,4,0.358,132,3
Systematic_variance_2,Default,0.5,8,4,0.358,133,7
Systematic_variance_2,Default,0.5,8,4,0.358,134,1
Systematic_variance_2,Default,0.5,8,4,0.358,135,1
Systematic_variance_2,Default,0.5,8,4,0.358,136,5
Systematic_variance_2,Default,0.5,8,4,0.358,137,4
Systematic_variance_2,Default,0.5,8,4,0.358,138,1
Systematic_variance_2,Default,0.5,8,4,0.358,139,1
Systematic_variance_2,Default,0.5,8,4,0.358,140,5
Systematic_variance_2,Default,0.5,8,4,0.358,141,4
Systematic_variance_2,Default,0.5,8,4,0.358,142,2
Systematic_variance_2,Default,0.5,8,4,0.358,143,7
Systematic_variance_2,Default,0.5,8,4,0.358,144,5
Systematic_variance_2,Default,0.5,8,4,0.358,145,1
Systematic_variance_2,Default,0.5,8,4,0.358,146,1
Systematic_variance_2,Default,0.5,8,4,0.358,147,5
Systematic_variance_2,Default,0.5,9,5,0.407,148,4
Systematic_variance_2,Default,0.5,9,5,0.407,149,4
Systematic_variance_2,Default,0.5,9,5,0.407,150,1
Systematic_variance_2,Default,0.5,9,5,0.407,151,0
Systematic_variance_2,Default,0.5,9,5,0.407,152,8
Systematic_variance_2,Default,0.5,9,5,0.407,153,5
Systematic_variance_2,Default,0.5,9,5,0.407,154,5
Systematic_variance_2,Default,0.5,9,5,0.407,155,1
Systematic_variance_2,Default,0.5,9,5,0.407,156,4
Systematic_variance_2,Default,0.5,9,5,0.407,157,6
Systematic_variance_2,Default,0.5,9,5,0.407,158,2
Systematic_variance_2,Default,0.5,9,5,0.407,159,2
Systematic_variance_2,Default,0.5,9,5,0.407,160,1
Systematic_variance_2,Default,0.5,9,5,0.407,161,8
Systematic_variance_2,Default,0.5,9,5,0.407,162,3
Systematic_variance_2,Default,0.5,9,5,0.407,163,5
Systematic_variance_2,Default,0.5,9,5,0.407,164,2
Systematic_variance_2,Default,0.5,9,5,0.407,165,3
Systematic_variance_2,Default,0.5,9,5,0.407,166,1
Systematic_variance_2,Default,0.5,9,5,0.407,167,8
Systematic_variance_2,Default,0.5,9,5,0.407,168,5
Systematic_variance_2,Default,0.5,9,5,0.407,169,4
Systematic_variance_2,Default,0.5,9,5,0.407,170,1
Systematic_variance_2,Default,0.5,9,5,0.407,171,1
Systematic_variance_2,Default,0.5,10,5,0.456,172,9
Systematic_variance_2,Default,0.5,10,5,0.456,173,6
Systematic_variance_2,Default,0.5,10,5,0.456,174,3
Systematic_variance_2,Default,0.5,10,5,0.456,175,4
Systematic_variance_2,Default,0.5,10,5,0.456,176,3
Systematic_variance_2,Default,0.5,10,5,0.456,177,3
Systematic_variance_2,Default,0.5,10,5,0.456,178,8
Systematic_variance_2,Default,0.5,10,5,0.456,179,0
Systematic_variance_2,Default,0.5,10,5,0.456,180,6
Systematic_variance_2,Default,0.5,10,5,0.456,181,2
Systematic_variance_2,Default,0.5,10,5,0.456,182,5
Systematic_variance_2,Default,0.5,10,5,0.456,183,8
Systematic_variance_2,Default,0.5,10,5,0.456,184,1
Systematic_variance_2,Default,0.5,10,5,0.456,185,4
Systematic_variance_2,Default,0.5,10,5,0.456,186,4
Systematic_variance_2,Default,0.5,10,5,0.456,187,4
Systematic_variance_2,Default,0.5,10,5,0.456,188,1
Systematic_variance_2,Default,0.5,10,5,0.456,189,6
Systematic_variance_2,Default,0.5,11,6,0.505,190,1
Systematic_variance_2,Default,0.5,11,6,0.505,191,1
Systematic_variance_2,Default,0.5,11,6,0.505,192,6
Systematic_variance_2,Default,0.5,11,6,0.505,193,4
Systematic_variance_2,Default,0.5,11,6,0.505,194,8
Systematic_variance_2,Default,0.5,11,6,0.505,195,6
Systematic_variance_2,Default,0.5,11,6,0.505,196,8
Systematic_variance_2,Default,0.5,11,6,0.505,197,1
Systematic_variance_2,Default,0.5,11,6,0.505,198,1
Systematic_variance_2,Default,0.5,11,6,0.505,199,4
Systematic_variance_2,Default,0.5,11,6,0.505,200,5
Systematic_variance_2,Default,0.5,11,6,0.505,201,1
Systematic_variance_2,Default,0.5,11,6,0.505,202,2
Systematic_variance_2,Default,0.5,11,6,0.505,203,5
Systematic_variance_2,Default,0.5,11,6,0.505,204,5
Systematic_variance_2,Default,0.5,11,6,0.505,205,7
Systematic_variance_2,Default,0.5,11,6,0.505,206,4
Systematic_variance_2,Default,0.5,11,6,0.505,207,9
Systematic_variance_2,Default,0.5,11,6,0.505,208,5
Systematic_variance_2,Default,0.5,11,6,0.505,209,0
Systematic_variance_2,Default,0.5,12,6,0.554,210,7
Systematic_variance_2,Default,0.5,12,6,0.554,211,7
Systematic_variance_2,Default,0.5,12,6,0.554,212,3
Systematic_variance_2,Default,0.5,12,6,0.554,213,3
Systematic_variance_2,Default,0.5,12,6,0.554,214,7
Systematic_variance_2,Default,0.5,12,6,0.554,215,5
Systematic_variance_2,Default,0.5,12,6,0.554,216,5
Systematic_variance_2,Default,0.5,12,6,0.554,217,5
Systematic_variance_2,Default,0.5,12,6,0.554,218,3
Systematic_variance_2,Default,0.5,12,6,0.554,219,0
Systematic_variance_2,Default,0.5,12,6,0.554,220,0
Systematic_variance_2,Default,0.5,12,6,0.554,221,2
Systematic_variance_2,Default,0.5,12,6,0.554,222,10
Systematic_variance_2,Default,0.5,12,6,0.554,223,1
Systematic_variance_2,Default,0.5,12,6,0.554,224,0
Systematic_variance_2,Default,0.5,13,7,0.603,225,5
Systematic_variance_2,Default,0.5,13,7,0.603,226,0
Systematic_variance_2,Default,0.5,13,7,0.603,227,1
Systematic_variance_2,Default,0.5,13,7,0.603,228,7
Systematic_variance_2,Default,0.5,13,7,0.603,229,8
Systematic_variance_2,Default,0.5,13,7,0.603,230,2
Systematic_variance_2,Default,0.5,13,7,0.603,231,4
Systematic_variance_2,Default,0.5,13,7,0.603,232,0
Systematic_variance_2,Default,0.5,13,7,0.603,233,1
Systematic_variance_2,Default,0.5,13,7,0.603,234,1
Systematic_variance_2,Default,0.5,13,7,0.603,235,7
Systematic_variance_2,Default,0.5,14,7,0.652,236,4
Systematic_variance_2,Default,0.5,14,7,0.652,237,1
Systematic_variance_2,Default,0.5,14,7,0.652,238,3
Systematic_variance_2,Default,0.5,14,7,0.652,239,1
Systematic_variance_2,Default,0.5,14,7,0.652,240,6
Systematic_variance_2,Default,0.5,14,7,0.652,241,2
Systematic_variance_2,Default,0.5,14,7,0.652,242,9
Systematic_variance_2,Default,0.5,14,7,0.652,243,0
Systematic_variance_2,Default,0.5,15,8,0.701,244,4
Systematic_variance_2,Default,0.5,15,8,0.701,245,10
Systematic_variance_2,Default,0.5,15,8,0.701,246,3
Systematic_variance_2,Default,0.5,15,8,0.701,247,0
Systematic_variance_2,Default,0.5,16,8,0.75,248,0
Systematic_variance_2,Default,0.5,16,8,0.75,249,2
Systematic_variance_2,Default,0.5,17,9,0.799,250,2
Systematic_variance_2,Default,0.5,17,9,0.799,251,9
Systematic_variance_2,Default,0.5,17,9,0.799,252,5
Systematic_variance_2,Default,0.5,17,9,0.799,253,3
Systematic_variance_2,Default,0.5,18,9,0.848,254,5
Systematic_variance_2,Default,0.5,19,10,0.897,NA,NA
Systematic_variance_2,Default,0.5,20,,0.946,NA,NA
