Study.Area,Region.Label,Area,Sample.Label,Effort,object,distance
Systematic_variance_1,Default,0.5,16,0.784,164,1
Systematic_variance_1,Default,0.5,17,0.833,165,10
Systematic_variance_1,Default,0.5,17,0.833,166,2
Systematic_variance_1,Default,0.5,17,0.833,167,1
Systematic_variance_1,Default,0.5,17,0.833,168,3
Systematic_variance_1,Default,0.5,17,0.833,169,1
Systematic_variance_1,Default,0.5,17,0.833,170,2
Systematic_variance_1,Default,0.5,17,0.833,171,6
Systematic_variance_1,Default,0.5,17,0.833,172,8
Systematic_variance_1,Default,0.5,17,0.833,173,5
Systematic_variance_1,Default,0.5,17,0.833,174,1
Systematic_variance_1,Default,0.5,17,0.833,175,9
Systematic_variance_1,Default,0.5,17,0.833,176,7
Systematic_variance_1,Default,0.5,17,0.833,177,3
Systematic_variance_1,Default,0.5,17,0.833,178,2
Systematic_variance_1,Default,0.5,17,0.833,179,7
Systematic_variance_1,Default,0.5,17,0.833,180,2
Systematic_variance_1,Default,0.5,17,0.833,181,7
Systematic_variance_1,Default,0.5,17,0.833,182,7
Systematic_variance_1,Default,0.5,17,0.833,183,1
Systematic_variance_1,Default,0.5,17,0.833,184,5
Systematic_variance_1,Default,0.5,17,0.833,185,3
Systematic_variance_1,Default,0.5,17,0.833,186,4
Systematic_variance_1,Default,0.5,17,0.833,187,0
Systematic_variance_1,Default,0.5,17,0.833,188,1
Systematic_variance_1,Default,0.5,17,0.833,189,8
Systematic_variance_1,Default,0.5,18,0.882,190,1
Systematic_variance_1,Default,0.5,18,0.882,191,4
Systematic_variance_1,Default,0.5,18,0.882,192,2
Systematic_variance_1,Default,0.5,18,0.882,193,1
Systematic_variance_1,Default,0.5,18,0.882,194,1
Systematic_variance_1,Default,0.5,18,0.882,195,7
Systematic_variance_1,Default,0.5,18,0.882,196,6
Systematic_variance_1,Default,0.5,18,0.882,197,5
Systematic_variance_1,Default,0.5,18,0.882,198,7
Systematic_variance_1,Default,0.5,18,0.882,199,7
Systematic_variance_1,Default,0.5,18,0.882,200,3
Systematic_variance_1,Default,0.5,18,0.882,201,10
Systematic_variance_1,Default,0.5,18,0.882,202,1
Systematic_variance_1,Default,0.5,18,0.882,203,2
Systematic_variance_1,Default,0.5,18,0.882,204,1
Systematic_variance_1,Default,0.5,18,0.882,205,1
Systematic_variance_1,Default,0.5,19,0.931,206,5
Systematic_variance_1,Default,0.5,19,0.931,207,6
Systematic_variance_1,Default,0.5,19,0.931,208,4
Systematic_variance_1,Default,0.5,19,0.931,209,2
Systematic_variance_1,Default,0.5,19,0.931,210,3
Systematic_variance_1,Default,0.5,19,0.931,211,3
Systematic_variance_1,Default,0.5,19,0.931,212,0
Systematic_variance_1,Default,0.5,19,0.931,213,4
Systematic_variance_1,Default,0.5,19,0.931,214,6
Systematic_variance_1,Default,0.5,19,0.931,215,5
Systematic_variance_1,Default,0.5,19,0.931,216,1
Systematic_variance_1,Default,0.5,19,0.931,217,3
Systematic_variance_1,Default,0.5,19,0.931,218,2
Systematic_variance_1,Default,0.5,19,0.931,219,0
Systematic_variance_1,Default,0.5,19,0.931,220,3
Systematic_variance_1,Default,0.5,19,0.931,221,3
Systematic_variance_1,Default,0.5,19,0.931,222,2
Systematic_variance_1,Default,0.5,19,0.931,223,4
Systematic_variance_1,Default,0.5,19,0.931,224,0
Systematic_variance_1,Default,0.5,19,0.931,225,5
Systematic_variance_1,Default,0.5,19,0.931,226,3
Systematic_variance_1,Default,0.5,19,0.931,227,1
Systematic_variance_1,Default,0.5,19,0.931,228,1
Systematic_variance_1,Default,0.5,19,0.931,229,0
Systematic_variance_1,Default,0.5,19,0.931,230,2
Systematic_variance_1,Default,0.5,20,0.98,231,2
Systematic_variance_1,Default,0.5,20,0.98,232,7
Systematic_variance_1,Default,0.5,20,0.98,233,2
Systematic_variance_1,Default,0.5,20,0.98,234,3
Systematic_variance_1,Default,0.5,20,0.98,235,3
Systematic_variance_1,Default,0.5,20,0.98,236,2
Systematic_variance_1,Default,0.5,20,0.98,237,6
Systematic_variance_1,Default,0.5,20,0.98,238,9
Systematic_variance_1,Default,0.5,20,0.98,239,5
Systematic_variance_1,Default,0.5,20,0.98,240,5
Systematic_variance_1,Default,0.5,20,0.98,241,4
Systematic_variance_1,Default,0.5,20,0.98,242,5
Systematic_variance_1,Default,0.5,20,0.98,243,0
Systematic_variance_1,Default,0.5,20,0.98,244,6
Systematic_variance_1,Default,0.5,20,0.98,245,3
Systematic_variance_1,Default,0.5,20,0.98,246,8
Systematic_variance_1,Default,0.5,20,0.98,247,3
Systematic_variance_1,Default,0.5,20,0.98,248,4
Systematic_variance_1,Default,0.5,20,0.98,249,2
Systematic_variance_1,Default,0.5,20,0.98,250,4
Systematic_variance_1,Default,0.5,20,0.98,251,2
Systematic_variance_1,Default,0.5,20,0.98,252,0
