Study.Area,Region.Label,Area,Sample.Label,Effort,object,distance
LTExercise3,Default,1,Line 9,5,67,1.899999976
LTExercise3,Default,1,Line 9,5,68,3.299999952
LTExercise3,Default,1,Line 9,5,69,3.700000048
LTExercise3,Default,1,Line 9,5,70,5.800000191
LTExercise3,Default,1,Line 9,5,71,5.900000095
LTExercise3,Default,1,Line 9,5,72,4.800000191
LTExercise3,Default,1,Line 9,5,73,12.39999962
LTExercise3,Default,1,Line 9,5,74,7.599999905
LTExercise3,Default,1,Line 9,5,75,10.60000038
LTExercise3,Default,1,Line 9,5,76,17.79999924
LTExercise3,Default,1,Line 9,5,77,5.800000191
LTExercise3,Default,1,Line 10,7,78,0
LTExercise3,Default,1,Line 10,7,79,0.600000024
LTExercise3,Default,1,Line 10,7,80,2
LTExercise3,Default,1,Line 10,7,81,6.900000095
LTExercise3,Default,1,Line 10,7,82,7.199999809
LTExercise3,Default,1,Line 10,7,83,7.699999809
LTExercise3,Default,1,Line 10,7,84,10.19999981
LTExercise3,Default,1,Line 10,7,85,1.299999952
LTExercise3,Default,1,Line 10,7,86,1.700000048
LTExercise3,Default,1,Line 10,7,87,8.399999619
LTExercise3,Default,1,Line 10,7,88,13.39999962
LTExercise3,Default,1,Line 10,7,89,19.39999962
LTExercise3,Default,1,Line 10,7,90,12.80000019
LTExercise3,Default,1,Line 10,7,91,13.19999981
LTExercise3,Default,1,Line 10,7,92,6.300000191
LTExercise3,Default,1,Line 10,7,93,10
LTExercise3,Default,1,Line 10,7,94,12.39999962
LTExercise3,Default,1,Line 10,7,95,19.5
LTExercise3,Default,1,Line 10,7,96,1.700000048
LTExercise3,Default,1,Line 10,7,97,3.099999905
LTExercise3,Default,1,Line 10,7,98,3.299999952
LTExercise3,Default,1,Line 10,7,99,19.39999962
LTExercise3,Default,1,Line 10,7,100,16.60000038
LTExercise3,Default,1,Line 11,3,NA,NA
LTExercise3,Default,1,Line 12,4,101,1
LTExercise3,Default,1,Line 12,4,102,6.599999905
LTExercise3,Default,1,Line 12,4,103,12.39999962
LTExercise3,Default,1,Line 12,4,104,4.900000095
LTExercise3,Default,1,Line 12,4,105,15.39999962
